kelurahan_id;kelurahan;kecamatan_id;kecamatan;kota_id;kota
3101011001;PULAU PANGGANG;310101;KEPULAUAN SERIBU UTARA;3101;ADM. KEP. SERIB
3101011002;PULAU KELAPA;310101;KEPULAUAN SERIBU UTARA;3101;ADM. KEP. SERIB
3101011003;PULAU HARAPAN;310101;KEPULAUAN SERIBU UTARA;3101;ADM. KEP. SERIB
3101021001;PULAU UNTUNG JAWA;310102;KEPULAUAN SERIBU SELATAN;3101;ADM. KEP. SERIB
3101021002;PULAU TIDUNG;310102;KEPULAUAN SERIBU SELATAN;3101;ADM. KEP. SERIB
3101021003;PULAU PAR;310102;KEPULAUAN SERIBU SELATAN;3101;ADM. KEP. SERIB
3171011001;GAMBIR;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171011002;CIDENG;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171011003;PETOJO UTARA;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171011004;PETOJO SELATAN;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171011005;KEBON KELAPA;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171011006;DURI PULO;317101;GAMBIR;3171;KOTA ADM. JAKARTA PUSAT
3171021001;PASAR BARU;317102;SAWAH BESAR;3171;KOTA ADM. JAKARTA PUSAT
3171021002;KARANG ANYAR;317102;SAWAH BESAR;3171;KOTA ADM. JAKARTA PUSAT
3171021003;KARTINI;317102;SAWAH BESAR;3171;KOTA ADM. JAKARTA PUSAT
3171021004;GUNUNG SAHARI UTARA; 317102;SAWAH BESAR;3171;KOTA ADM. JAKARTA PUSAT
3171021005;MANGGA DUA SELATAN;317102;SAWAH BESAR;3171;KOTA ADM. JAKARTA PUSAT
3171031001;KEMAYORAN;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031002;KEBON KOSONG;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031003;HARAPAN MULIA;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031004;SERDANG;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031005;GUNUNG SAHARI SELATAN;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031006;CEMPAKA BARU;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031007;SUMUR BATU;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171031008;UTAN PANJANG;317103;KEMAYORAN;3171;KOTA ADM. JAKARTA PUSAT
3171041001;SENEN;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171041002;KENARI;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171041003;PASEBAN;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171041004;KRAMAT;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171041005;KWITANG;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171041006;BUNGUR;317104;S E N E N;3171;KOTA ADM. JAKARTA PUSAT
3171051001;CEMPAKA PUTIH TIMUR;317105;CEMPAKA PUTIH;3171;KOTA ADM. JAKARTA PUSAT
3171051002;CEMPAKA PUTIH BARAT;317105;CEMPAKA PUTIH;3171;KOTA ADM. JAKARTA PUSAT
3171051003;RAWASARI;317105;CEMPAKA PUTIH;3171;KOTA ADM. JAKARTA PUSAT
3171061001;MENTENG;317106;MENTENG;3171;KOTA ADM. JAKARTA PUSAT
3171061002;PEGANGSAAN;317106;MENTENG;3171;KOTA ADM. JAKARTA PUSAT
3171061003;CIKINI;317106;MENTENG;3171;KOTA ADM. JAKARTA PUSAT
3171061004;GONDANGDIA;317106;MENTENG;3171;KOTA ADM. JAKARTA PUSAT
3171061005;KEBON SIRIH;317106;MENTENG;3171;KOTA ADM. JAKARTA PUSAT
3171071001;GELORA;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071002;BENDUNGAN HILIR;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071003;KARET TENGSIN;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071004;PETAMBURAN;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071005;KEBON MELATI;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071006;KEBON KACANG;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171071007;KAMPUNG BALI;317107;TANAH ABANG;3171;KOTA ADM. JAKARTA PUSAT
3171081001;JOHAR BARU;317108;JOHAR BARU;3171;KOTA ADM. JAKARTA PUSAT
3171081002;KAMPUNG RAWA;317108;JOHAR BARU;3171;KOTA ADM. JAKARTA PUSAT
3171081003;GALUR;317108;JOHAR BARU;3171;KOTA ADM. JAKARTA PUSAT
3171081004;TANAH TINGGI;317108;JOHAR BARU;3171;KOTA ADM. JAKARTA PUSAT
3172011001;PENJARINGAN;317201;PENJARINGAN;3172;KOTA ADM. JAKARTA UTARA
3172011002;KAMAL MUARA;317201;PENJARINGAN;3172;KOTA ADM. JAKARTA UTARA
3172011003;KAPUK MUARA;317201;PENJARINGAN;3172;KOTA ADM. JAKARTA UTARA
3172011004;PEJAGALAN;317201;PENJARINGAN;3172;KOTA ADM. JAKARTA UTARA
3172011005;PLUIT;317201;PENJARINGAN;3172;KOTA ADM. JAKARTA UTARA
3172021001;TANJUNG PRIOK;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021002;SUNTER JAYA;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021003;PAPANGGO;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021004;SUNGAI BAMBU;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021005;KEBON BAWANG;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021006;SUNTER AGUNG;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172021007;WARAKAS;317202;TANJUNG PRIOK;3172;KOTA ADM. JAKARTA UTARA
3172031001;KOJA;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172031002;TUGU UTARA;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172031003;LAGOA;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172031004;RAWA BADAK UTARA;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172031005;TUGU SELATAN;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172031006;RAWA BADAK SELATAN;317203;KOJA;3172;KOTA ADM. JAKARTA UTARA
3172041001;CILINCING;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041002;SUKAPURA;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041003;MARUNDA;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041004;KALIBARU;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041005;SEMPER TIMUR;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041006;ROROTAN;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172041007;SEMPER BARAT;317204;CILINCING;3172;KOTA ADM. JAKARTA UTARA
3172051001;PADEMANGAN TIMUR;317205;PADEMANGAN;3172;KOTA ADM. JAKARTA UTARA
3172051002;PADEMANGAN BARAT;317205;PADEMANGAN;3172;KOTA ADM. JAKARTA UTARA
3172051003;ANCOL;317205;PADEMANGAN;3172;KOTA ADM. JAKARTA UTARA
3172061001;KELAPA GADING TIMUR;317206;KELAPA GADING;3172;KOTA ADM. JAKARTA UTARA
3172061002;PEGANGSAAN DUA;317206;KELAPA GADING;3172;KOTA ADM. JAKARTA UTARA
3172061003;KELAPA GADING BARAT;317206;KELAPA GADING;3172;KOTA ADM. JAKARTA UTARA
3173011001;CENGKARENG BARAT;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173011002;DURI KOSAMBI;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173011003;RAWA BUAYA;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173011004;KEDAUNG KALI ANGKE;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173011005;KAPUK;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173011006;CENGKARENG TIMUR;317301;CENGKARENG;3173;KOTA ADM. JAKARTA BARAT
3173021001;GROGOL;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021002;TANJUNG DUREN UTARA;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021003;TOMANG;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021004;JELAMBAR;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021005;TANJUNG DUREN SELATAN;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021006;JELAMBAR BARU;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173021007;WIJAYA KUSUMA;317302;GROGOL PETAMBURAN;3173;KOTA ADM. JAKARTA BARAT
3173031001;TAMAN SARI;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031002;KRUKUT;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031003;MAPHAR;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031004;TANGKI;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031005;MANGGA BESAR;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031006;KEAGUNGAN;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031007;GLODOK;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173031008;PINANGSIA;317303;TAMAN SARI;3173;KOTA ADM. JAKARTA BARAT
3173041001;TAMBORA;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041002;KALI ANYAR;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041003;DURI UTARA;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041004;TANAH SEREAL;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041005;KRENDANG;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041006;JEMBATAN BESI;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041007;ANGKE;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041008;JEMBATAN LIMA;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041009;PEKOJAN;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
3173041010;ROA MALAKA;317304;TAMBORA;3173;KOTA ADM. JAKARTA BARAT
